work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category,adjusted_salary
2023,Senior,Full-time,Analytics Engineer,116450,United States,On-Site,United States,MEDIUM,Data Engineering,116450
2023,Senior,Full-time,Data Engineer,247300,United States,On-Site,United States,MEDIUM,Data Engineering,247300
2023,Senior,Full-time,Data Engineer,133800,United States,On-Site,United States,MEDIUM,Data Engineering,133800
2023,Senior,Full-time,Research Engineer,203000,United States,On-Site,United States,MEDIUM,Other,203000
2023,Senior,Full-time,Research Engineer,133000,United States,On-Site,United States,MEDIUM,Other,133000
2023,Entry,Full-time,Research Scientist,220000,United States,Half-Remote,United States,LARGE,Data Science,220000
2022,Entry,Full-time,Machine Learning Engineer,56536,Switzerland,Full-Remote,Switzerland,SMALL,Machine Learning,61211
2023,Senior,Full-time,Data Scientist,150000,United States,On-Site,United States,MEDIUM,Data Science,150000
2023,Senior,Full-time,Data Scientist,120000,United States,On-Site,United States,MEDIUM,Data Science,120000
2023,Senior,Full-time,Analytics Engineer,289800,United States,On-Site,United States,MEDIUM,Data Engineering,289800
2023,Senior,Full-time,Analytics Engineer,214000,United States,On-Site,United States,MEDIUM,Data Engineering,214000
2023,Senior,Full-time,Analytics Engineer,179820,United States,On-Site,United States,MEDIUM,Data Engineering,179820
2023,Senior,Full-time,Analytics Engineer,143860,United States,On-Site,United States,MEDIUM,Data Engineering,143860
2023,Senior,Full-time,Machine Learning Engineer,283200,United States,Full-Remote,United States,MEDIUM,Machine Learning,283200
2023,Senior,Full-time,Machine Learning Engineer,188800,United States,Full-Remote,United States,MEDIUM,Machine Learning,188800
2023,Senior,Full-time,Analytics Engineer,289800,United States,On-Site,United States,MEDIUM,Data Engineering,289800
2023,Senior,Full-time,Analytics Engineer,214200,United States,On-Site,United States,MEDIUM,Data Engineering,214200
2023,Senior,Full-time,Data Engineer,185900,United States,On-Site,United States,MEDIUM,Data Engineering,185900
2023,Senior,Full-time,Data Engineer,129300,United States,On-Site,United States,MEDIUM,Data Engineering,129300
2023,Senior,Full-time,Data Engineer,252000,United States,On-Site,United States,MEDIUM,Data Engineering,252000
2023,Senior,Full-time,Data Engineer,129000,United States,On-Site,United States,MEDIUM,Data Engineering,129000
2023,Intermediate,Full-time,Data Analytics Manager,155000,United States,On-Site,United States,MEDIUM,Management,155000
2023,Intermediate,Full-time,Data Analytics Manager,140000,United States,On-Site,United States,MEDIUM,Management,140000
2023,Senior,Full-time,Data Engineer,161800,United States,Full-Remote,United States,MEDIUM,Data Engineering,161800
2023,Senior,Full-time,Data Engineer,141600,United States,Full-Remote,United States,MEDIUM,Data Engineering,141600
2023,Senior,Full-time,Machine Learning Engineer,342300,United States,On-Site,United States,LARGE,Machine Learning,342300
2023,Senior,Full-time,Machine Learning Engineer,176100,United States,On-Site,United States,LARGE,Machine Learning,176100
2023,Intermediate,Full-time,Data Engineer,100000,United States,Full-Remote,United States,MEDIUM,Data Engineering,100000
2023,Intermediate,Full-time,Data Engineer,70000,United States,Full-Remote,United States,MEDIUM,Data Engineering,70000
2023,Entry,Full-time,Data Engineer,85000,United States,On-Site,United States,MEDIUM,Data Engineering,85000
2023,Entry,Full-time,Data Engineer,65000,United States,On-Site,United States,MEDIUM,Data Engineering,65000
2023,Senior,Full-time,Data Scientist,138784,United States,Full-Remote,United States,MEDIUM,Data Science,138784
2023,Senior,Full-time,Data Scientist,83270,United States,Full-Remote,United States,MEDIUM,Data Science,83270
2023,Entry,Full-time,Data Analyst,75000,United States,On-Site,United States,MEDIUM,Data Analyst,75000
2023,Entry,Full-time,Data Analyst,70000,United States,On-Site,United States,MEDIUM,Data Analyst,70000
2023,Senior,Full-time,Data Analyst,204500,United States,On-Site,United States,MEDIUM,Data Analyst,204500
2023,Senior,Full-time,Data Analyst,138900,United States,On-Site,United States,MEDIUM,Data Analyst,138900
2023,Senior,Full-time,Machine Learning Engineer,318300,United States,Full-Remote,United States,MEDIUM,Machine Learning,318300
2023,Senior,Full-time,Machine Learning Engineer,212200,United States,Full-Remote,United States,MEDIUM,Machine Learning,212200
2023,Senior,Full-time,Data Engineer,95000,United States,Full-Remote,United States,MEDIUM,Data Engineering,95000
2023,Senior,Full-time,Data Engineer,75000,United States,Full-Remote,United States,MEDIUM,Data Engineering,75000
2023,Senior,Full-time,Data Scientist,195000,United States,On-Site,United States,MEDIUM,Data Science,195000
2023,Senior,Full-time,Data Scientist,160000,United States,On-Site,United States,MEDIUM,Data Science,160000
2023,Senior,Full-time,Analytics Engineer,230000,United States,On-Site,United States,MEDIUM,Data Engineering,230000
2023,Senior,Full-time,Analytics Engineer,143200,United States,On-Site,United States,MEDIUM,Data Engineering,143200
2023,Intermediate,Full-time,Data Engineer,100000,United States,Full-Remote,United States,MEDIUM,Data Engineering,100000
2023,Intermediate,Full-time,Data Engineer,70000,United States,Full-Remote,United States,MEDIUM,Data Engineering,70000
2023,Intermediate,Full-time,Business Data Analyst,105000,United States,Half-Remote,United States,LARGE,Data Analyst,105000
2023,Intermediate,Full-time,Applied Data Scientist,20670,India,Full-Remote,India,LARGE,Data Science,20670
2023,Intermediate,Full-time,Data Analyst,46178,United Kingdom,On-Site,United Kingdom,MEDIUM,Data Analyst,46178
2023,Intermediate,Full-time,Data Analyst,42533,United Kingdom,On-Site,United Kingdom,MEDIUM,Data Analyst,42533
2023,Senior,Full-time,Data Engineer,145000,United States,On-Site,United States,MEDIUM,Data Engineering,145000
2023,Senior,Full-time,Data Engineer,115000,United States,On-Site,United States,MEDIUM,Data Engineering,115000
2023,Senior,Full-time,Data Analyst,168400,United States,On-Site,United States,MEDIUM,Data Analyst,168400
2023,Senior,Full-time,Data Analyst,105200,United States,On-Site,United States,MEDIUM,Data Analyst,105200
2023,Senior,Full-time,Applied Scientist,309400,United States,On-Site,United States,LARGE,Data Science,309400
2023,Senior,Full-time,Applied Scientist,159100,United States,On-Site,United States,LARGE,Data Science,159100
2023,Senior,Full-time,Machine Learning Engineer,190000,United States,On-Site,United States,MEDIUM,Machine Learning,190000
2023,Senior,Full-time,Machine Learning Engineer,150000,United States,On-Site,United States,MEDIUM,Machine Learning,150000
2023,Intermediate,Full-time,Data Engineer,162500,United States,On-Site,United States,MEDIUM,Data Engineering,162500
2023,Intermediate,Full-time,Data Engineer,130000,United States,On-Site,United States,MEDIUM,Data Engineering,130000
2023,Senior,Full-time,Analytics Engineer,150000,United States,Full-Remote,United States,MEDIUM,Data Engineering,150000
2023,Senior,Full-time,Analytics Engineer,120000,United States,Full-Remote,United States,MEDIUM,Data Engineering,120000
2023,Senior,Full-time,Data Engineer,145000,United States,On-Site,United States,MEDIUM,Data Engineering,145000
2023,Senior,Full-time,Data Engineer,120000,United States,On-Site,United States,MEDIUM,Data Engineering,120000
2023,Senior,Full-time,Applied Scientist,222200,United States,On-Site,United States,LARGE,Data Science,222200
2023,Senior,Full-time,Applied Scientist,136000,United States,On-Site,United States,LARGE,Data Science,136000
2023,Senior,Full-time,Data Analyst,54685,Central African Republic,Full-Remote,Central African Republic,MEDIUM,Data Analyst,54685
2023,Senior,Full-time,Data Analyst,42533,Central African Republic,Full-Remote,Central African Republic,MEDIUM,Data Analyst,42533
2023,Senior,Full-time,Data Engineer,241000,United States,On-Site,United States,MEDIUM,Data Engineering,241000
2023,Senior,Full-time,Data Engineer,155000,United States,On-Site,United States,MEDIUM,Data Engineering,155000
2023,Senior,Full-time,Data Engineer,220000,United States,Full-Remote,United States,MEDIUM,Data Engineering,220000
2023,Senior,Full-time,Data Engineer,190000,United States,Full-Remote,United States,MEDIUM,Data Engineering,190000
2023,Intermediate,Full-time,Data Scientist,66837,United Kingdom,On-Site,United Kingdom,MEDIUM,Data Science,66837
2023,Intermediate,Full-time,Data Scientist,54685,United Kingdom,On-Site,United Kingdom,MEDIUM,Data Science,54685
2020,Executive,Full-time,Staff Data Analyst,15000,Nigeria,On-Site,Canada,MEDIUM,Data Analyst,17130
2023,Intermediate,Full-time,ETL Engineer,85066,United Kingdom,Full-Remote,United Kingdom,MEDIUM,Data Engineering,85066
2023,Intermediate,Full-time,ETL Engineer,57723,United Kingdom,Full-Remote,United Kingdom,MEDIUM,Data Engineering,57723
2023,Entry,Full-time,Data Analyst,85000,United States,Full-Remote,United States,MEDIUM,Data Analyst,85000
2023,Entry,Full-time,Data Analyst,75000,United States,Full-Remote,United States,MEDIUM,Data Analyst,75000
2023,Senior,Full-time,Data Engineer,160000,United States,On-Site,United States,MEDIUM,Data Engineering,160000
2023,Senior,Full-time,Data Engineer,140000,United States,On-Site,United States,MEDIUM,Data Engineering,140000
2023,Intermediate,Full-time,Machine Learning Engineer,300000,United States,On-Site,United States,MEDIUM,Machine Learning,300000
2023,Intermediate,Full-time,Machine Learning Engineer,250000,United States,On-Site,United States,MEDIUM,Machine Learning,250000
2023,Senior,Full-time,Data Scientist,228000,United States,On-Site,United States,MEDIUM,Data Science,228000
2023,Senior,Full-time,Data Scientist,186000,United States,On-Site,United States,MEDIUM,Data Science,186000
2023,Senior,Full-time,Data Scientist,190000,United States,On-Site,United States,MEDIUM,Data Science,190000
2023,Senior,Full-time,Data Scientist,170000,United States,On-Site,United States,MEDIUM,Data Science,170000
2023,Intermediate,Full-time,Research Engineer,230000,United States,On-Site,United States,MEDIUM,Other,230000
2023,Intermediate,Full-time,Research Engineer,200000,United States,On-Site,United States,MEDIUM,Other,200000
2023,Senior,Full-time,Data Architect,180000,United States,Full-Remote,United States,MEDIUM,Data Architecture,180000
2023,Senior,Full-time,Data Architect,115000,United States,Full-Remote,United States,MEDIUM,Data Architecture,115000
2023,Senior,Full-time,Data Architect,200000,United States,Full-Remote,United States,MEDIUM,Data Architecture,200000
2023,Senior,Full-time,Data Architect,115000,United States,Full-Remote,United States,MEDIUM,Data Architecture,115000
2023,Senior,Full-time,Data DevOps Engineer,53654,France,Half-Remote,France,SMALL,Data Engineering,53654
2023,Executive,Full-time,Data Engineer,220000,United States,On-Site,United States,MEDIUM,Data Engineering,220000
2023,Executive,Full-time,Data Engineer,205000,United States,On-Site,United States,MEDIUM,Data Engineering,205000
2023,Intermediate,Full-time,Data Engineer,180000,United States,On-Site,United States,MEDIUM,Data Engineering,180000
2023,Intermediate,Full-time,Data Engineer,130000,United States,On-Site,United States,MEDIUM,Data Engineering,130000
2023,Senior,Full-time,Data Engineer,200000,United States,Full-Remote,United States,MEDIUM,Data Engineering,200000
2023,Senior,Full-time,Data Engineer,150000,United States,Full-Remote,United States,MEDIUM,Data Engineering,150000
2023,Senior,Full-time,Computer Vision Engineer,215000,United States,On-Site,United States,MEDIUM,Other,215000
2023,Senior,Full-time,Computer Vision Engineer,170000,United States,On-Site,United States,MEDIUM,Other,170000
2023,Senior,Full-time,Machine Learning Engineer,247500,United States,On-Site,United States,MEDIUM,Machine Learning,247500
2023,Senior,Full-time,Machine Learning Engineer,172200,United States,On-Site,United States,MEDIUM,Machine Learning,172200
2023,Senior,Full-time,Data Scientist,224000,Canada,On-Site,Canada,MEDIUM,Data Science,224000
2023,Senior,Full-time,Data Scientist,176000,Canada,On-Site,Canada,MEDIUM,Data Science,176000
2023,Senior,Full-time,Data Analyst,120000,United States,Full-Remote,United States,MEDIUM,Data Analyst,120000
2023,Senior,Full-time,Data Analyst,75000,United States,Full-Remote,United States,MEDIUM,Data Analyst,75000
2023,Entry,Full-time,Data Engineer,17022,India,Full-Remote,India,LARGE,Data Engineering,17022
2023,Senior,Full-time,Applied Data Scientist,68318,Australia,Full-Remote,Finland,MEDIUM,Data Science,68318
2023,Intermediate,Full-time,AI Developer,75020,Finland,On-Site,Finland,MEDIUM,Other,75020
2023,Senior,Full-time,Data Analyst,140000,United States,On-Site,United States,MEDIUM,Data Analyst,140000
2023,Senior,Full-time,Data Analyst,120000,United States,On-Site,United States,MEDIUM,Data Analyst,120000
2023,Senior,Full-time,Data Engineer,128000,United States,On-Site,United States,MEDIUM,Data Engineering,128000
2023,Senior,Full-time,Data Engineer,81500,United States,On-Site,United States,MEDIUM,Data Engineering,81500
2023,Senior,Full-time,Data Engineer,145000,United States,On-Site,United States,MEDIUM,Data Engineering,145000
2023,Senior,Full-time,Data Engineer,115000,United States,On-Site,United States,MEDIUM,Data Engineering,115000
2023,Senior,Full-time,Data Engineer,185000,United States,On-Site,United States,MEDIUM,Data Engineering,185000
2023,Senior,Full-time,Data Engineer,140000,United States,On-Site,United States,MEDIUM,Data Engineering,140000
2023,Executive,Full-time,Head of Data,329500,United States,On-Site,United States,MEDIUM,Other,329500
2023,Executive,Full-time,Head of Data,269600,United States,On-Site,United States,MEDIUM,Other,269600
2023,Senior,Full-time,Data Quality Analyst,100000,United States,On-Site,United States,MEDIUM,Data Analyst,100000
2023,Senior,Full-time,Data Quality Analyst,80000,United States,On-Site,United States,MEDIUM,Data Analyst,80000
2023,Senior,Full-time,Data Scientist,250000,United States,On-Site,United States,MEDIUM,Data Science,250000
2023,Senior,Full-time,Data Scientist,162500,United States,On-Site,United States,MEDIUM,Data Science,162500
2023,Intermediate,Full-time,AI Developer,200000,United States,Full-Remote,United States,MEDIUM,Other,200000
2023,Senior,Full-time,Data Engineer,145000,United States,On-Site,United States,MEDIUM,Data Engineering,145000
2023,Senior,Full-time,Data Engineer,100000,United States,On-Site,United States,MEDIUM,Data Engineering,100000
2023,Executive,Full-time,Data Engineer,145000,United States,On-Site,United States,MEDIUM,Data Engineering,145000
2023,Executive,Full-time,Data Engineer,115000,United States,On-Site,United States,MEDIUM,Data Engineering,115000
2023,Senior,Full-time,Data Scientist,203500,United States,On-Site,United States,MEDIUM,Data Science,203500
2023,Senior,Full-time,Data Scientist,152000,United States,On-Site,United States,MEDIUM,Data Science,152000
2023,Senior,Full-time,Data Scientist,239000,United States,On-Site,United States,LARGE,Data Science,239000
2023,Senior,Full-time,Data Scientist,122900,United States,On-Site,United States,LARGE,Data Science,122900
2023,Senior,Full-time,Data Scientist,237000,United States,On-Site,United States,MEDIUM,Data Science,237000
2023,Senior,Full-time,Data Scientist,145000,United States,On-Site,United States,MEDIUM,Data Science,145000
2023,Senior,Full-time,Data Science Manager,191765,United States,On-Site,United States,MEDIUM,Management,191765
2023,Senior,Full-time,Data Science Manager,134236,United States,On-Site,United States,MEDIUM,Management,134236
2023,Senior,Full-time,Analytics Engineer,190000,United States,Full-Remote,United States,MEDIUM,Data Engineering,190000
2023,Senior,Full-time,Analytics Engineer,112000,United States,Full-Remote,United States,MEDIUM,Data Engineering,112000
2022,Senior,Full-time,Data Scientist,88256,Spain,Full-Remote,United Kingdom,LARGE,Data Science,95554
2023,Entry,Full-time,Data Engineer,85000,United States,On-Site,United States,MEDIUM,Data Engineering,85000
2023,Entry,Full-time,Data Engineer,65000,United States,On-Site,United States,MEDIUM,Data Engineering,65000
2023,Senior,Full-time,Data Analyst,135000,United States,On-Site,United States,MEDIUM,Data Analyst,135000
2023,Senior,Full-time,Data Analyst,105500,United States,On-Site,United States,MEDIUM,Data Analyst,105500
2023,Senior,Full-time,Research Engineer,293000,United States,On-Site,United States,MEDIUM,Other,293000
2023,Senior,Full-time,Research Engineer,185000,United States,On-Site,United States,MEDIUM,Other,185000
2023,Senior,Full-time,Data Analyst,80000,United States,On-Site,United States,MEDIUM,Data Analyst,80000
2023,Senior,Full-time,Data Analyst,70000,United States,On-Site,United States,MEDIUM,Data Analyst,70000
2023,Senior,Full-time,Data Engineer,220000,United States,Full-Remote,United States,MEDIUM,Data Engineering,220000
2023,Senior,Full-time,Data Engineer,160000,United States,Full-Remote,United States,MEDIUM,Data Engineering,160000
2023,Senior,Full-time,Data Scientist,175000,United States,Full-Remote,United States,MEDIUM,Data Science,175000
2023,Senior,Full-time,Data Scientist,145000,United States,Full-Remote,United States,MEDIUM,Data Science,145000
2023,Senior,Full-time,Data Analyst,200000,United States,On-Site,United States,MEDIUM,Data Analyst,200000
2023,Senior,Full-time,Data Analyst,148500,United States,On-Site,United States,MEDIUM,Data Analyst,148500
2023,Senior,Full-time,Data Scientist,48289,Spain,On-Site,Spain,MEDIUM,Data Science,48289
2023,Senior,Full-time,Data Scientist,38631,Spain,On-Site,Spain,MEDIUM,Data Science,38631
2023,Senior,Full-time,Data Engineer,240500,United States,On-Site,United States,LARGE,Data Engineering,240500
2023,Senior,Full-time,Data Engineer,123700,United States,On-Site,United States,LARGE,Data Engineering,123700
2023,Senior,Full-time,Analytics Engineer,152900,United States,Full-Remote,United States,MEDIUM,Data Engineering,152900
2023,Senior,Full-time,Analytics Engineer,117100,United States,Full-Remote,United States,MEDIUM,Data Engineering,117100
2023,Senior,Full-time,Analytics Engineer,173000,United States,Full-Remote,United States,MEDIUM,Data Engineering,173000
